class,replica,started_jobs
enterprise,0,19
enterprise,1,26
enterprise,2,22
enterprise,3,23
enterprise,4,22
enterprise,5,23
enterprise,6,28
enterprise,7,37
freemium,0,26
freemium,1,27
freemium,2,30
freemium,3,24
freemium,4,21
freemium,5,17
freemium,6,31
freemium,7,24
premium,0,30
premium,1,22
premium,2,23
premium,3,28
premium,4,32
premium,5,35
premium,6,16
premium,7,14
