time_s,event,job_id,class,replica,slot,policy,action,source_pool,target_pool,reason,pool_sizes,active_total_after,active_by_class_after
123.255837,finish,w0!w000340__premium,premium,4,442,least_loaded,,,,,,"{""0"": 9, ""1"": 9, ""2"": 9, ""3"": 8, ""4"": 8, ""5"": 9, ""6"": 9, ""7"": 8}","{""0"": {""freemium"": 1, ""premium"": 7, ""enterprise"": 1}, ""1"": {""freemium"": 4, ""premium"": 3, ""enterprise"": 2}, ""2"": {""freemium"": 4, ""premium"": 3, ""enterprise"": 2}, ""3"": {""enterprise"": 3, ""freemium"": 4, ""premium"": 1}, ""4"": {""enterprise"": 2, ""premium"": 3, ""freemium"": 3}, ""5"": {""freemium"": 1, ""premium"": 5, ""enterprise"": 3}, ""6"": {""freemium"": 4, ""premium"": 3, ""enterprise"": 2}, ""7"": {""premium"": 3, ""enterprise"": 2, ""freemium"": 3}}"
123.324005,finish,w0!w000322__enterprise,enterprise,1,142,least_loaded,,,,,,"{""0"": 9, ""1"": 8, ""2"": 9, ""3"": 8, ""4"": 8, ""5"": 9, ""6"": 9, ""7"": 8}","{""0"": {""freemium"": 1, ""premium"": 7, ""enterprise"": 1}, ""1"": {""freemium"": 4, ""premium"": 3, ""enterprise"": 1}, ""2"": {""freemium"": 4, ""premium"": 3, ""enterprise"": 2}, ""3"": {""enterprise"": 3, ""freemium"": 4, ""premium"": 1}, ""4"": {""enterprise"": 2, ""premium"": 3, ""freemium"": 3}, ""5"": {""freemium"": 1, ""premium"": 5, ""enterprise"": 3}, ""6"": {""freemium"": 4, ""premium"": 3, ""enterprise"": 2}, ""7"": {""premium"": 3, ""enterprise"": 2, ""freemium"": 3}}"
123.398973,finish,w0!w000346__premium,premium,5,539,least_loaded,,,,,,"{""0"": 9, ""1"": 8, ""2"": 9, ""3"": 8, ""4"": 8, ""5"": 8, ""6"": 9, ""7"": 8}","{""0"": {""freemium"": 1, ""premium"": 7, ""enterprise"": 1}, ""1"": {""freemium"": 4, ""premium"": 3, ""enterprise"": 1}, ""2"": {""freemium"": 4, ""premium"": 3, ""enterprise"": 2}, ""3"": {""enterprise"": 3, ""freemium"": 4, ""premium"": 1}, ""4"": {""enterprise"": 2, ""premium"": 3, ""freemium"": 3}, ""5"": {""freemium"": 1, ""premium"": 4, ""enterprise"": 3}, ""6"": {""freemium"": 4, ""premium"": 3, ""enterprise"": 2}, ""7"": {""premium"": 3, ""enterprise"": 2, ""freemium"": 3}}"
123.433655,finish,w0!w000368__freemium,freemium,3,348,least_loaded,,,,,,"{""0"": 9, ""1"": 8, ""2"": 9, ""3"": 7, ""4"": 8, ""5"": 8, ""6"": 9, ""7"": 8}","{""0"": {""freemium"": 1, ""premium"": 7, ""enterprise"": 1}, ""1"": {""freemium"": 4, ""premium"": 3, ""enterprise"": 1}, ""2"": {""freemium"": 4, ""premium"": 3, ""enterprise"": 2}, ""3"": {""enterprise"": 3, ""freemium"": 3, ""premium"": 1}, ""4"": {""enterprise"": 2, ""premium"": 3, ""freemium"": 3}, ""5"": {""freemium"": 1, ""premium"": 4, ""enterprise"": 3}, ""6"": {""freemium"": 4, ""premium"": 3, ""enterprise"": 2}, ""7"": {""premium"": 3, ""enterprise"": 2, ""freemium"": 3}}"
123.438197,finish,w0!w000372__premium,premium,6,645,least_loaded,,,,,,"{""0"": 9, ""1"": 8, ""2"": 9, ""3"": 7, ""4"": 8, ""5"": 8, ""6"": 8, ""7"": 8}","{""0"": {""freemium"": 1, ""premium"": 7, ""enterprise"": 1}, ""1"": {""freemium"": 4, ""premium"": 3, ""enterprise"": 1}, ""2"": {""freemium"": 4, ""premium"": 3, ""enterprise"": 2}, ""3"": {""enterprise"": 3, ""freemium"": 3, ""premium"": 1}, ""4"": {""enterprise"": 2, ""premium"": 3, ""freemium"": 3}, ""5"": {""freemium"": 1, ""premium"": 4, ""enterprise"": 3}, ""6"": {""freemium"": 4, ""premium"": 2, ""enterprise"": 2}, ""7"": {""premium"": 3, ""enterprise"": 2, ""freemium"": 3}}"
123.452205,finish,w0!w000336__premium,premium,1,144,least_loaded,,,,,,"{""0"": 9, ""1"": 7, ""2"": 9, ""3"": 7, ""4"": 8, ""5"": 8, ""6"": 8, ""7"": 8}","{""0"": {""freemium"": 1, ""premium"": 7, ""enterprise"": 1}, ""1"": {""freemium"": 4, ""premium"": 2, ""enterprise"": 1}, ""2"": {""freemium"": 4, ""premium"": 3, ""enterprise"": 2}, ""3"": {""enterprise"": 3, ""freemium"": 3, ""premium"": 1}, ""4"": {""enterprise"": 2, ""premium"": 3, ""freemium"": 3}, ""5"": {""freemium"": 1, ""premium"": 4, ""enterprise"": 3}, ""6"": {""freemium"": 4, ""premium"": 2, ""enterprise"": 2}, ""7"": {""premium"": 3, ""enterprise"": 2, ""freemium"": 3}}"
123.469808,start,w0!w000417__enterprise,enterprise,1,152,least_loaded,,,,,,"{""0"": 9, ""1"": 8, ""2"": 9, ""3"": 7, ""4"": 8, ""5"": 8, ""6"": 8, ""7"": 8}","{""0"": {""freemium"": 1, ""premium"": 7, ""enterprise"": 1}, ""1"": {""freemium"": 4, ""premium"": 2, ""enterprise"": 2}, ""2"": {""freemium"": 4, ""premium"": 3, ""enterprise"": 2}, ""3"": {""enterprise"": 3, ""freemium"": 3, ""premium"": 1}, ""4"": {""enterprise"": 2, ""premium"": 3, ""freemium"": 3}, ""5"": {""freemium"": 1, ""premium"": 4, ""enterprise"": 3}, ""6"": {""freemium"": 4, ""premium"": 2, ""enterprise"": 2}, ""7"": {""premium"": 3, ""enterprise"": 2, ""freemium"": 3}}"
123.63041,finish,w0!w000385__enterprise,enterprise,5,545,least_loaded,,,,,,"{""0"": 9, ""1"": 8, ""2"": 9, ""3"": 7, ""4"": 8, ""5"": 7, ""6"": 8, ""7"": 8}","{""0"": {""freemium"": 1, ""premium"": 7, ""enterprise"": 1}, ""1"": {""freemium"": 4, ""premium"": 2, ""enterprise"": 2}, ""2"": {""freemium"": 4, ""premium"": 3, ""enterprise"": 2}, ""3"": {""enterprise"": 3, ""freemium"": 3, ""premium"": 1}, ""4"": {""enterprise"": 2, ""premium"": 3, ""freemium"": 3}, ""5"": {""freemium"": 1, ""premium"": 4, ""enterprise"": 2}, ""6"": {""freemium"": 4, ""premium"": 2, ""enterprise"": 2}, ""7"": {""premium"": 3, ""enterprise"": 2, ""freemium"": 3}}"
123.686115,finish,w0!w000329__freemium,freemium,6,638,least_loaded,,,,,,"{""0"": 9, ""1"": 8, ""2"": 9, ""3"": 7, ""4"": 8, ""5"": 7, ""6"": 7, ""7"": 8}","{""0"": {""freemium"": 1, ""premium"": 7, ""enterprise"": 1}, ""1"": {""freemium"": 4, ""premium"": 2, ""enterprise"": 2}, ""2"": {""freemium"": 4, ""premium"": 3, ""enterprise"": 2}, ""3"": {""enterprise"": 3, ""freemium"": 3, ""premium"": 1}, ""4"": {""enterprise"": 2, ""premium"": 3, ""freemium"": 3}, ""5"": {""freemium"": 1, ""premium"": 4, ""enterprise"": 2}, ""6"": {""freemium"": 3, ""premium"": 2, ""enterprise"": 2}, ""7"": {""premium"": 3, ""enterprise"": 2, ""freemium"": 3}}"
123.901078,finish,w0!w000366__premium,premium,2,246,least_loaded,,,,,,"{""0"": 9, ""1"": 8, ""2"": 8, ""3"": 7, ""4"": 8, ""5"": 7, ""6"": 7, ""7"": 8}","{""0"": {""freemium"": 1, ""premium"": 7, ""enterprise"": 1}, ""1"": {""freemium"": 4, ""premium"": 2, ""enterprise"": 2}, ""2"": {""freemium"": 4, ""premium"": 2, ""enterprise"": 2}, ""3"": {""enterprise"": 3, ""freemium"": 3, ""premium"": 1}, ""4"": {""enterprise"": 2, ""premium"": 3, ""freemium"": 3}, ""5"": {""freemium"": 1, ""premium"": 4, ""enterprise"": 2}, ""6"": {""freemium"": 3, ""premium"": 2, ""enterprise"": 2}, ""7"": {""premium"": 3, ""enterprise"": 2, ""freemium"": 3}}"
