class,replica,started_jobs
enterprise,0,43
enterprise,2,5
enterprise,3,49
enterprise,4,15
enterprise,5,31
enterprise,6,57
freemium,0,18
freemium,1,25
freemium,2,65
freemium,3,23
freemium,4,19
freemium,5,20
freemium,6,4
freemium,7,26
premium,0,15
premium,1,61
premium,2,12
premium,4,41
premium,5,20
premium,6,6
premium,7,45
