time_s,enterprise,event,freemium,mixed,premium
40.197426,3,start,4,0,1
40.641885,3,start,4,0,1
40.690815,3,start,4,0,1
40.781308,3,finish,4,0,1
40.795682,3,start,4,0,1
40.84228,3,finish,4,0,1
41.082747,3,finish,4,0,1
41.478543,3,finish,4,0,1
41.505993,3,finish,4,0,1
41.641194,3,finish,4,0,1
41.672016,3,start,4,0,1
41.719518,3,start,4,0,1
41.872349,3,start,4,0,1
42.299399,3,start,4,0,1
42.476766,3,finish,4,0,1
42.710993,3,finish,4,0,1
42.735598,3,start,4,0,1
42.799765,3,start,4,0,1
42.810149,3,finish,4,0,1
42.814038,3,finish,4,0,1
43.05122,3,finish,4,0,1
43.545827,3,finish,4,0,1
44.347062,3,finish,4,0,1
44.409215,3,finish,4,0,1
44.596288,3,start,4,0,1
44.721888,3,finish,4,0,1
44.753799,3,finish,4,0,1
44.888548,3,finish,4,0,1
44.969209,3,start,4,0,1
45.631092,3,finish,4,0,1
45.85499,3,start,4,0,1
45.860139,3,start,4,0,1
45.914057,3,finish,4,0,1
45.945725,3,start,4,0,1
46.083564,3,start,3,0,2
46.129391,3,start,3,0,2
46.396857,3,start,3,0,2
46.508754,3,start,3,0,2
46.578149,3,start,3,0,2
46.722594,3,start,3,0,2
46.780235,3,finish,3,0,2
46.826648,3,start,3,0,2
46.946459,3,start,3,0,2
47.211147,3,finish,3,0,2
47.84014,3,start,3,0,2
48.01677,3,finish,3,0,2
48.206663,3,start,3,0,2
48.30203,3,finish,3,0,2
48.363965,3,finish,3,0,2
48.408389,3,finish,3,0,2
48.568822,3,start,3,0,2
48.602833,3,finish,3,0,2
48.605634,3,start,3,0,2
48.682779,3,finish,3,0,2
48.702486,3,start,3,0,2
48.806913,3,start,3,0,2
48.867887,3,start,2,0,3
48.99913,3,start,1,0,4
49.280963,3,start,1,0,4
49.295908,3,finish,1,0,4
49.426746,3,start,1,0,4
49.591792,3,finish,1,0,4
49.6774,3,start,2,0,3
49.687541,3,finish,2,0,3
49.703262,3,start,2,0,3
49.912208,3,start,2,0,3
49.921591,3,finish,2,0,3
50.625752,3,start,1,0,4
50.83798,2,start,2,0,4
50.932672,2,finish,2,0,4
51.14191,2,finish,2,0,4
51.185328,2,finish,2,0,4
51.618407,2,finish,2,0,4
51.668446,2,start,2,0,4
52.067566,2,finish,2,0,4
52.095836,2,finish,2,0,4
52.782324,2,finish,2,0,4
53.278345,2,finish,2,0,4
53.319111,2,finish,2,0,4
53.342993,2,finish,2,0,4
53.573188,2,start,2,0,4
53.613066,2,start,2,0,4
53.697215,2,finish,2,0,4
53.936754,2,finish,2,0,4
54.169553,2,finish,2,0,4
54.442826,2,start,2,0,4
54.818758,2,finish,2,0,4
54.839072,2,finish,2,0,4
55.184336,2,start,2,0,4
55.242885,2,start,2,0,4
55.273989,2,finish,2,0,4
55.435182,2,finish,2,0,4
55.609023,2,start,2,0,4
55.718091,2,start,2,0,4
55.891998,2,finish,2,0,4
55.969303,2,start,2,0,4
55.978564,2,start,2,0,4
56.011086,2,finish,2,0,4
56.073671,2,start,2,0,4
56.152608,2,start,2,0,4
56.803118,2,start,2,0,4
56.949874,2,finish,2,0,4
57.018747,2,start,2,0,4
57.121162,2,start,2,0,4
57.226356,2,start,2,0,4
57.307446,2,finish,2,0,4
57.49613,2,finish,2,0,4
57.591669,2,finish,2,0,4
57.614977,2,start,2,0,4
57.715935,2,start,2,0,4
57.911946,2,start,2,0,4
58.374871,2,start,2,0,4
58.724558,2,finish,2,0,4
58.747834,2,start,2,0,4
58.830066,2,finish,2,0,4
58.855231,2,finish,2,0,4
58.874449,2,finish,2,0,4
59.033789,2,start,2,0,4
59.511747,2,finish,2,0,4
59.796422,3,start,1,0,4
59.862445,3,start,1,0,4
59.885167,3,finish,1,0,4
60.081288,3,finish,1,0,4
60.137241,3,start,1,0,4
60.141646,3,start,1,0,4
60.296111,3,start,1,0,4
60.358998,3,finish,1,0,4
60.464231,3,finish,1,0,4
60.473188,3,finish,1,0,4
60.72229,3,finish,1,0,4
60.782476,3,finish,1,0,4
61.025429,3,finish,1,0,4
61.089797,3,start,1,0,4
61.134534,3,finish,1,0,4
61.27077,3,finish,1,0,4
61.410018,3,finish,1,0,4
61.416829,3,start,1,0,4
61.562946,3,start,1,0,4
61.618326,3,finish,1,0,4
61.640801,3,start,1,0,4
62.106925,3,start,1,0,4
62.179892,3,start,1,0,4
62.574574,3,start,1,0,4
62.647265,3,finish,1,0,4
62.712237,3,start,1,0,4
62.777539,3,start,1,0,4
62.82481,3,finish,1,0,4
62.961346,3,finish,1,0,4
63.037638,3,start,2,0,3
63.299744,3,finish,2,0,3
63.532305,3,start,2,0,3
63.637259,3,finish,2,0,3
63.695083,3,start,2,0,3
63.721538,3,finish,2,0,3
63.974761,3,start,2,0,3
64.261527,3,finish,2,0,3
64.323712,3,finish,2,0,3
64.880935,3,start,2,0,3
64.965731,3,finish,2,0,3
64.971361,3,finish,2,0,3
65.319274,3,start,2,0,3
65.373866,3,finish,2,0,3
65.439382,3,start,2,0,3
65.552463,3,start,3,0,2
65.849648,3,finish,3,0,2
65.880227,3,start,3,0,2
65.912925,3,finish,3,0,2
66.073804,3,start,3,0,2
66.074809,3,finish,3,0,2
66.384132,3,start,3,0,2
66.39668,3,finish,3,0,2
66.399329,3,finish,3,0,2
66.930252,3,start,3,0,2
67.180328,3,start,3,0,2
67.393228,3,start,3,0,2
67.4456,3,finish,3,0,2
67.560145,3,finish,3,0,2
67.710755,3,finish,3,0,2
67.801884,3,start,3,0,2
67.83487,3,finish,3,0,2
67.946281,3,start,3,0,2
68.08217,3,start,3,0,2
68.094721,3,start,3,0,2
68.190135,3,finish,3,0,2
68.347474,3,start,3,0,2
68.667169,3,start,3,0,2
69.100119,3,finish,3,0,2
69.1085,3,start,3,0,2
69.108561,3,finish,3,0,2
69.297249,3,finish,3,0,2
69.520379,3,start,3,0,2
69.620275,3,start,3,0,2
69.715241,3,start,3,0,2
69.809435,3,start,3,0,2
69.858415,3,start,4,0,1
70.154496,3,start,4,0,1
70.166498,3,start,4,0,1
70.242701,3,start,4,0,1
70.316063,3,start,4,0,1
70.569549,3,finish,4,0,1
70.605182,3,start,4,0,1
70.779167,3,finish,4,0,1
70.782445,3,start,4,0,1
70.972781,3,finish,4,0,1
71.00224,3,start,3,0,2
71.005342,3,start,3,0,2
71.819713,3,finish,3,0,2
71.999489,3,start,3,0,2
72.138033,3,finish,3,0,2
72.156099,3,finish,3,0,2
72.306634,3,start,3,0,2
72.364797,3,start,3,0,2
72.463593,3,finish,3,0,2
