time_s,event,job_id,class,replica,slot,policy,action,source_pool,target_pool,reason,pool_sizes,active_total_after,active_by_class_after
158.050554,start,w0!w000532__enterprise,enterprise,3,363,plb_nclass,own_pool,enterprise,enterprise,under_theta,"{""enterprise"": 2, ""freemium"": 4, ""mixed"": 0, ""premium"": 2}","{""0"": 9, ""1"": 9, ""2"": 10, ""3"": 10, ""4"": 9, ""5"": 9, ""6"": 9, ""7"": 8}","{""0"": {""enterprise"": 2, ""freemium"": 7, ""premium"": 0}, ""1"": {""premium"": 6, ""freemium"": 3}, ""2"": {""freemium"": 6, ""premium"": 0, ""enterprise"": 4}, ""3"": {""freemium"": 0, ""enterprise"": 10}, ""4"": {""enterprise"": 0, ""freemium"": 6, ""premium"": 3}, ""5"": {""premium"": 5, ""enterprise"": 0, ""freemium"": 4}, ""6"": {""enterprise"": 9, ""freemium"": 0, ""premium"": 0}, ""7"": {""premium"": 3, ""freemium"": 5}}"
158.218976,finish,w0!w000439__enterprise,enterprise,3,354,plb_nclass,finish,,,,"{""enterprise"": 2, ""freemium"": 4, ""mixed"": 0, ""premium"": 2}","{""0"": 9, ""1"": 9, ""2"": 10, ""3"": 9, ""4"": 9, ""5"": 9, ""6"": 9, ""7"": 8}","{""0"": {""enterprise"": 2, ""freemium"": 7, ""premium"": 0}, ""1"": {""premium"": 6, ""freemium"": 3}, ""2"": {""freemium"": 6, ""premium"": 0, ""enterprise"": 4}, ""3"": {""freemium"": 0, ""enterprise"": 9}, ""4"": {""enterprise"": 0, ""freemium"": 6, ""premium"": 3}, ""5"": {""premium"": 5, ""enterprise"": 0, ""freemium"": 4}, ""6"": {""enterprise"": 9, ""freemium"": 0, ""premium"": 0}, ""7"": {""premium"": 3, ""freemium"": 5}}"
158.386539,start,w0!w000533__premium,premium,7,763,plb_nclass,own_pool,premium,premium,under_theta,"{""enterprise"": 2, ""freemium"": 4, ""mixed"": 0, ""premium"": 2}","{""0"": 9, ""1"": 9, ""2"": 10, ""3"": 9, ""4"": 9, ""5"": 9, ""6"": 9, ""7"": 9}","{""0"": {""enterprise"": 2, ""freemium"": 7, ""premium"": 0}, ""1"": {""premium"": 6, ""freemium"": 3}, ""2"": {""freemium"": 6, ""premium"": 0, ""enterprise"": 4}, ""3"": {""freemium"": 0, ""enterprise"": 9}, ""4"": {""enterprise"": 0, ""freemium"": 6, ""premium"": 3}, ""5"": {""premium"": 5, ""enterprise"": 0, ""freemium"": 4}, ""6"": {""enterprise"": 9, ""freemium"": 0, ""premium"": 0}, ""7"": {""premium"": 4, ""freemium"": 5}}"
158.398845,start,w0!w000534__freemium,freemium,0,67,plb_nclass,own_pool,freemium,freemium,under_theta,"{""enterprise"": 2, ""freemium"": 4, ""mixed"": 0, ""premium"": 2}","{""0"": 10, ""1"": 9, ""2"": 10, ""3"": 9, ""4"": 9, ""5"": 9, ""6"": 9, ""7"": 9}","{""0"": {""enterprise"": 2, ""freemium"": 8, ""premium"": 0}, ""1"": {""premium"": 6, ""freemium"": 3}, ""2"": {""freemium"": 6, ""premium"": 0, ""enterprise"": 4}, ""3"": {""freemium"": 0, ""enterprise"": 9}, ""4"": {""enterprise"": 0, ""freemium"": 6, ""premium"": 3}, ""5"": {""premium"": 5, ""enterprise"": 0, ""freemium"": 4}, ""6"": {""enterprise"": 9, ""freemium"": 0, ""premium"": 0}, ""7"": {""premium"": 4, ""freemium"": 5}}"
158.404939,finish,w0!w000480__freemium,freemium,7,759,plb_nclass,finish,,,,"{""enterprise"": 2, ""freemium"": 4, ""mixed"": 0, ""premium"": 2}","{""0"": 10, ""1"": 9, ""2"": 10, ""3"": 9, ""4"": 9, ""5"": 9, ""6"": 9, ""7"": 8}","{""0"": {""enterprise"": 2, ""freemium"": 8, ""premium"": 0}, ""1"": {""premium"": 6, ""freemium"": 3}, ""2"": {""freemium"": 6, ""premium"": 0, ""enterprise"": 4}, ""3"": {""freemium"": 0, ""enterprise"": 9}, ""4"": {""enterprise"": 0, ""freemium"": 6, ""premium"": 3}, ""5"": {""premium"": 5, ""enterprise"": 0, ""freemium"": 4}, ""6"": {""enterprise"": 9, ""freemium"": 0, ""premium"": 0}, ""7"": {""premium"": 4, ""freemium"": 4}}"
158.41358,finish,w0!w000458__enterprise,enterprise,3,355,plb_nclass,finish,,,,"{""enterprise"": 2, ""freemium"": 4, ""mixed"": 0, ""premium"": 2}","{""0"": 10, ""1"": 9, ""2"": 10, ""3"": 8, ""4"": 9, ""5"": 9, ""6"": 9, ""7"": 8}","{""0"": {""enterprise"": 2, ""freemium"": 8, ""premium"": 0}, ""1"": {""premium"": 6, ""freemium"": 3}, ""2"": {""freemium"": 6, ""premium"": 0, ""enterprise"": 4}, ""3"": {""freemium"": 0, ""enterprise"": 8}, ""4"": {""enterprise"": 0, ""freemium"": 6, ""premium"": 3}, ""5"": {""premium"": 5, ""enterprise"": 0, ""freemium"": 4}, ""6"": {""enterprise"": 9, ""freemium"": 0, ""premium"": 0}, ""7"": {""premium"": 4, ""freemium"": 4}}"
158.657762,start,w0!w000535__enterprise,enterprise,3,364,plb_nclass,own_pool,enterprise,enterprise,under_theta,"{""enterprise"": 2, ""freemium"": 4, ""mixed"": 0, ""premium"": 2}","{""0"": 10, ""1"": 9, ""2"": 10, ""3"": 9, ""4"": 9, ""5"": 9, ""6"": 9, ""7"": 8}","{""0"": {""enterprise"": 2, ""freemium"": 8, ""premium"": 0}, ""1"": {""premium"": 6, ""freemium"": 3}, ""2"": {""freemium"": 6, ""premium"": 0, ""enterprise"": 4}, ""3"": {""freemium"": 0, ""enterprise"": 9}, ""4"": {""enterprise"": 0, ""freemium"": 6, ""premium"": 3}, ""5"": {""premium"": 5, ""enterprise"": 0, ""freemium"": 4}, ""6"": {""enterprise"": 9, ""freemium"": 0, ""premium"": 0}, ""7"": {""premium"": 4, ""freemium"": 4}}"
158.776696,finish,w0!w000445__premium,premium,4,455,plb_nclass,finish,,,,"{""enterprise"": 2, ""freemium"": 4, ""mixed"": 0, ""premium"": 2}","{""0"": 10, ""1"": 9, ""2"": 10, ""3"": 9, ""4"": 8, ""5"": 9, ""6"": 9, ""7"": 8}","{""0"": {""enterprise"": 2, ""freemium"": 8, ""premium"": 0}, ""1"": {""premium"": 6, ""freemium"": 3}, ""2"": {""freemium"": 6, ""premium"": 0, ""enterprise"": 4}, ""3"": {""freemium"": 0, ""enterprise"": 9}, ""4"": {""enterprise"": 0, ""freemium"": 6, ""premium"": 2}, ""5"": {""premium"": 5, ""enterprise"": 0, ""freemium"": 4}, ""6"": {""enterprise"": 9, ""freemium"": 0, ""premium"": 0}, ""7"": {""premium"": 4, ""freemium"": 4}}"
158.942378,start,w0!w000536__premium,premium,7,764,plb_nclass,own_pool,premium,premium,under_theta,"{""enterprise"": 2, ""freemium"": 4, ""mixed"": 0, ""premium"": 2}","{""0"": 10, ""1"": 9, ""2"": 10, ""3"": 9, ""4"": 8, ""5"": 9, ""6"": 9, ""7"": 9}","{""0"": {""enterprise"": 2, ""freemium"": 8, ""premium"": 0}, ""1"": {""premium"": 6, ""freemium"": 3}, ""2"": {""freemium"": 6, ""premium"": 0, ""enterprise"": 4}, ""3"": {""freemium"": 0, ""enterprise"": 9}, ""4"": {""enterprise"": 0, ""freemium"": 6, ""premium"": 2}, ""5"": {""premium"": 5, ""enterprise"": 0, ""freemium"": 4}, ""6"": {""enterprise"": 9, ""freemium"": 0, ""premium"": 0}, ""7"": {""premium"": 5, ""freemium"": 4}}"
159.245184,start,w0!w000537__premium,premium,1,177,plb_nclass,own_pool,premium,premium,under_theta,"{""enterprise"": 2, ""freemium"": 4, ""mixed"": 0, ""premium"": 2}","{""0"": 10, ""1"": 10, ""2"": 10, ""3"": 9, ""4"": 8, ""5"": 9, ""6"": 9, ""7"": 9}","{""0"": {""enterprise"": 2, ""freemium"": 8, ""premium"": 0}, ""1"": {""premium"": 7, ""freemium"": 3}, ""2"": {""freemium"": 6, ""premium"": 0, ""enterprise"": 4}, ""3"": {""freemium"": 0, ""enterprise"": 9}, ""4"": {""enterprise"": 0, ""freemium"": 6, ""premium"": 2}, ""5"": {""premium"": 5, ""enterprise"": 0, ""freemium"": 4}, ""6"": {""enterprise"": 9, ""freemium"": 0, ""premium"": 0}, ""7"": {""premium"": 5, ""freemium"": 4}}"
